train,test
2.0502018100733833E-4,2.07549635334393E-4
2.050032024813794E-4,2.0745723567791753E-4
2.0495770027190654E-4,2.0737434104835386E-4
2.049365458581157E-4,2.0739235322293932E-4
2.0491789590269653E-4,2.0743770710501735E-4
2.0490604881142903E-4,2.0744983467575648E-4
2.0489711173919117E-4,2.0746363057944656E-4
2.0487729220026868E-4,2.074403312022325E-4
2.048382535183612E-4,2.0732992238825954E-4
2.0478728126603523E-4,2.0725732252289985E-4
2.0470948233728504E-4,2.071841528357489E-4
2.0463627444200356E-4,2.0705807414783965E-4
2.0459247208197453E-4,2.0728096371362077E-4
2.0453682922829528E-4,2.0721638230766976E-4
2.0448609522003746E-4,2.0712406611798217E-4
2.0441667714386023E-4,2.0709120321185214E-4
2.043525355510689E-4,2.0696398600347128E-4
2.0427463262094362E-4,2.0694973404289228E-4
2.0419922192567642E-4,2.068792662821254E-4
2.0412120134951015E-4,2.06867617201803E-4
2.0405871078691483E-4,2.068453335286208E-4
2.0401982605472964E-4,2.0680003001266684E-4
2.0399453116196618E-4,2.0677565780946968E-4
2.039726053744562E-4,2.0669974713843125E-4
2.0395807916190006E-4,2.0657906479066505E-4
2.039348378436502E-4,2.0640739630818403E-4
2.0389628378186402E-4,2.0617336278376015E-4
2.0384517422546709E-4,2.0609761986518558E-4
2.037994792109886E-4,2.0606070795793464E-4
2.0376844425513344E-4,2.0607750007025868E-4
2.0369889411918818E-4,2.0611272737594376E-4
2.0367176960712818E-4,2.0623631367210416E-4
2.0360659660421547E-4,2.0631475263881762E-4
2.035639316019352E-4,2.0636931451254695E-4
2.0350967117101467E-4,2.0635149786201753E-4
2.0347064902651415E-4,2.0622181500777245E-4
2.0341623945483326E-4,2.0597051989821823E-4
2.0334181200064338E-4,2.058168927783704E-4
2.0329981670256183E-4,2.0559481688333785E-4
2.0323967348429516E-4,2.0539786342481484E-4
2.0317137942046663E-4,2.0506971207534243E-4
2.0309464227754922E-4,2.0483389722099552E-4
2.0299901683924046E-4,2.045977427898893E-4
2.0288773161580148E-4,2.0421104952416855E-4
2.027454520107892E-4,2.040494799143917E-4
2.0266713338467732E-4,2.0379754591207555E-4
2.0259628428840291E-4,2.036896780035561E-4
2.0252488954492195E-4,2.037095076472024E-4
2.0244577831314914E-4,2.0363482351919073E-4
2.0240412799561145E-4,2.0360343264451476E-4
2.0236255746314835E-4,2.035724979919067E-4
2.023165731864308E-4,2.035318917686579E-4
2.022960907301157E-4,2.033981381981042E-4
2.0224758139897198E-4,2.0338507071032628E-4
2.022288890846175E-4,2.032755705693739E-4
2.0219563479686805E-4,2.0322829149333092E-4
2.0216129121356345E-4,2.031873420104909E-4
2.0213319211517025E-4,2.0313812402962826E-4
2.0208732187893504E-4,2.0293247235144085E-4
2.0204155783740008E-4,2.0294427480576705E-4
2.0197129856819895E-4,2.0307023700052667E-4
2.0194148090356344E-4,2.028444659003091E-4
2.0188116840032122E-4,2.028750583577377E-4
2.0180679470527371E-4,2.0292485823921125E-4
2.0172942981468584E-4,2.0283381569538114E-4
2.0167379186971312E-4,2.026405543631315E-4
2.0161941206325352E-4,2.0254343813816978E-4
2.0157439568567264E-4,2.0233995474025422E-4
2.0151986013572663E-4,2.0226998725237884E-4
2.0145240819892946E-4,2.021747562702109E-4
2.0135722905071724E-4,2.0239308018913014E-4
2.0127597747338885E-4,2.0234187710948309E-4
2.0122295019920828E-4,2.0240728810769757E-4
2.0116328412685784E-4,2.0244398925359708E-4
2.0109964392541307E-4,2.024781396029724E-4
2.010368797307326E-4,2.0247810148386124E-4
2.0096856375226627E-4,2.0241728934113564E-4
2.0087996786869976E-4,2.0238425351031604E-4
2.0086607530776988E-4,2.023093620810829E-4
2.0080913068526234E-4,2.0227504613674446E-4
2.007933883938828E-4,2.0218117271574322E-4
2.0077040388711084E-4,2.021017293978928E-4
2.007490039918914E-4,2.020059800720081E-4
2.0072536035442248E-4,2.0187494826834492E-4
2.006921957344481E-4,2.0181249044749305E-4
2.0065845431985362E-4,2.0172987809653843E-4
2.0062869492399138E-4,2.017186100616819E-4
2.0060836804739542E-4,2.016953292745333E-4
2.0057684429694643E-4,2.0165935579740472E-4
2.005157214998598E-4,2.0149061564615233E-4
2.0045086432278462E-4,2.0146123274759805E-4
2.0037626396175411E-4,2.0144298813165818E-4
2.0031212150091546E-4,2.0134951750449032E-4
2.0025927419948465E-4,2.0132034964638872E-4
2.0020255348320064E-4,2.0125418132701826E-4
2.0013635309398041E-4,2.0121034156253998E-4
2.0005436278398722E-4,2.0114465341237992E-4
1.9997198675678507E-4,2.0113073267616306E-4
1.9989630080153285E-4,2.0106334130526502E-4
1.9983001238651007E-4,2.0109814633190393E-4
1.9977936390233543E-4,2.010645296104093E-4
1.997306099462096E-4,2.0109499708920162E-4
1.996765314393279E-4,2.0089536049939185E-4
1.996299804970949E-4,2.009174002519133E-4
1.995925585561485E-4,2.0094561251240102E-4
1.9955858892450643E-4,2.0085255387689862E-4
1.9954561774900638E-4,2.0087204045569817E-4
1.995110112619358E-4,2.009295748094962E-4
1.9946941012960928E-4,2.009265894608941E-4
1.9943473456631195E-4,2.0093941255820133E-4
1.9940002038805392E-4,2.0090673421950116E-4
1.993629963942416E-4,2.0087793119694886E-4
1.9932815007586818E-4,2.008503989437484E-4
1.9929434068511074E-4,2.0083631392083293E-4
1.9925915339249366E-4,2.007703786588108E-4
1.9920458752071366E-4,2.006602011981727E-4
1.9914945571049142E-4,2.00510799421265E-4
1.990878998484604E-4,2.0029861947599116E-4
